StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,UDALGURI,ODALGURI,SAPANGAON VCDC,1670,290
Assam,UDALGURI,ODALGURI,ODALA VCDC,1581,969
Assam,UDALGURI,ODALGURI,SIMLUGURI VCDC,1201,969
Assam,UDALGURI,BHERGAON,BHERGAMI VCDC,912,745
Assam,UDALGURI,BHERGAON,SUKLAI VCDC,1066,575
Assam,UDALGURI,BHERGAON,ATTAREEKHAT VCDC,1358,693
Assam,UDALGURI,MAZBAT,JAGYAPUR VCDC,2066,742
Assam,UDALGURI,MAZBAT,MERABIL VCDC,2944,1650
Assam,UDALGURI,ROWTA,SIVAPUR VCDC,3299,1559
Assam,UDALGURI,ROWTA,PURANI HAPAGAON VCDC,612,369
Assam,UDALGURI,KALAIGAON,BALIPARA VCDC,649,181
Assam,UDALGURI,KALAIGAON,TEPAKHAT VCDC,146,22
Assam,UDALGURI,BORSOLA,NATUNPANBARI VCDC,2089,1397
Assam,UDALGURI,ODALGURI,BORLA VCDC,1922,1063
Assam,UDALGURI,ODALGURI,HATIGARH VCDC,1604,418
Assam,UDALGURI,ODALGURI,JABERITOLA VCDC,2181,745
Assam,UDALGURI,ODALGURI,PANERY VCDC,1515,984
Assam,UDALGURI,BHERGAON,TOTOLAPARA VCDC,1224,969
Assam,UDALGURI,BHERGAON,GARIAJHAR VCDC,1003,653
Assam,UDALGURI,BHERGAON,BUDURA VCDC,843,308
Assam,UDALGURI,MAZBAT,PHULAGURI VCDC,1953,1235
Assam,UDALGURI,MAZBAT,ORANG VCDC,1985,930
Assam,UDALGURI,ROWTA,PURANI GORAIBARI VCDC,1115,423
Assam,UDALGURI,ROWTA,MOHANPUR VCDC,1009,599
Assam,UDALGURI,KALAIGAON,BHUYANKHAT VCDC,1736,878
Assam,UDALGURI,KALAIGAON,RANIPUKHURI VCDC,1489,329
Assam,UDALGURI,BECHIMARI,DALAKATII BOROBAZAR VCDC,2618,1959
